trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-45.928515558421026,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-121.51229733919538,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,10,-55.800097102624676,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-162.98092506639773,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-147.79510927489898,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-229.0628315949356,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-16.293805267491763,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-69.40583649853413,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-63.47915548211039,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-156.26110687965715,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-78.53708147318528,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,15,-21.253023433527442,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,7,-18.875087804318547,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,1,11.185431298105648,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-25.324446311178185,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,5,1.1750495460707677,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,8,6.595237392803716,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-66.87385298888462,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,14.812466659344903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0}",25,0,-4.990056202180323,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,9,18.51480287937832,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,12,10.759841598973194,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,15.937644856089886,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-16.184848513789383,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,17,9.855834452449173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,6,30.13633789353229,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,8,23.755736749604477,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,11.287627552210305,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,12,29.56594149085896,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,40.68897613307594,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
