trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.632730717955635,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-142.1893855281163,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-174.66401382238243,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-205.02568481784834,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-90.47417888117948,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",35,0,-168.85855549850223,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-94.97786315583235,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",35,0,-208.08670563728728,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-44.02637654377798,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-100.51194999165376,"{0: 15, 1: 6, 2: 9, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-12.15088631502588,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,14,-15.414865354887917,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-102.67707435792828,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-31.013723081400933,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-78.64275619518479,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-75.20876333877148,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",35,0,-152.46452457321786,"{0: 21, 1: 1, 2: 11, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-98.05824935145455,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-41.90342232700617,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-20.725782886218667,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-46.90420225410055,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,1,-68.37912272465057,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",35,0,-77.53141914089598,"{0: 24, 1: 7, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",30,0,-222.51736884503782,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",35,9,-26.100188613370342,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-127.28923788820474,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-100.9404965033554,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-127.13146837730358,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-127.47891486514273,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,0,-99.79186600953771,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-149.23216089193005,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.7334469562242892}",30,0,-87.47525770053441,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,16,-35.378048141681944,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,10,-70.56333544344011,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,3,-70.43458725755937,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-87.8251102749202,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.697676326071031}",30,0,-132.17688368072106,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-159.028489182683,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,4,-95.99392872426563,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,12,-18.707779742840764,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-22.976378144899584,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-57.47487010938403,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,8,-64.27339092877638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,9,-44.46973638646828,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,9,-41.81330437213059,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,13,-40.67773065695721,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-78.96651793274066,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-52.26291171248696,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,3,-170.87312706236767,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 3}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,13,-69.1505135805016,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,17,1.7881707682352097,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-85.66581672251453,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
