trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.54089602240144,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.43763846565514,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-171.00641739367447,"{0: 23, 1: 2, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.47281048721014,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.60281485455018,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.47904538420411,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.64250535852867,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.65837293957897,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.8896219659997,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.92497733571156,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.28218503756997,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-201.57592100481224,"{0: 21, 1: 6, 2: 4, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.04589828474775,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.18805363742658,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.18617412099835,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.922823074471964,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.536230568413565,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.00672759855738,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.4027251384708,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.63186596172456,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-6.2213137363228475,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.32979082267647,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.73326288680062,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.6380664314241,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-44.16936078147204,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-74.87067200458843,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.3813846059918,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.30137056632316,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-46.81139982416417,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.6367148244305,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
